name,ring,quadrant,isNew,description
Enterprise Architect,green,tools,FALSE,"Sparx Systems Enterprise Architect is a visual modeling and design tool based on the OMG UML. The platform supports: the design and construction of software systems; modeling business processes; and modeling industry based domains. It is used by businesses and organizations to not only model the architecture of their systems, but to process the implementation of these models across the full application development life-cycle."
TeamCity,red,tools,FALSE,TeamCity is a Java-based build management and continuous integration server from JetBrains.
SonarQube,green,tools,FALSE,"SonarQube is an open source platform developed by SonarSource for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells and security vulnerabilities on 20+ programming languages. SonarQube offers reports on duplicated code, coding standards, unit tests, code coverage, code complexity, comments, bugs, and security vulnerabilities. SonarQube can record metrics history and provides evolution graphs. SonarQube's greatest asset is that it provides fully automated analysis and integration with Maven, Ant, Gradle, MSBuild and continuous integration tools."
SQL Server Management Studio,green,tools,FALSE,"SQL Server Management Studio (SSMS) is a software application first launched with Microsoft SQL Server 2005 that is used for configuring, managing, and administering all components within Microsoft SQL Server. The tool includes both script editors and graphical tools which work with objects and features of the server."
Jira,green,tools,FALSE,"Jira is a proprietary issue tracking product, developed by Atlassian. It provides bug tracking, issue tracking, and project management functions. According to one ranking method, as of June 2017, Jira is the most popular issue management tool."
Confluence,green,tools,FALSE,"Confluence is a team collaboration software. Written in Java and mainly used in corporate environments, it is developed and marketed by Atlassian. Confluence is sold as either on-premises software or as software as a service."
Visual Studio Team Services,red,tools,FALSE,"Git is a version control system for tracking changes in computer files and coordinating work on those files among multiple people. It is primarily used for source code management in software development, but it can be used to keep track of changes in any set of files. As a distributed revision control system it is aimed at speed, data integrity, and support for distributed, non-linear workflows.
 Git was created by Linus Torvalds in 2005 for development of the Linux kernel, with other kernel developers contributing to its initial development."
SQLMetal,green,tools,FALSE,The SqlMetal command-line tool generates code and mapping for the LINQ to SQL component of the .NET Framework
PhantomJS,green,tools,FALSE,"PhantomJS is a scripted, headless browser used for automating web page interaction. PhantomJS provides a JavaScript API enabling automated navigation, screenshots, user behavior and assertions making it a common tool used to run browser-based unit tests in a headless system like a continuous integration environment. PhantomJS is based on WebKit."
MigraDoc/PDFsharp,green,tools,FALSE,"PDFsharp is the Open Source library that easily creates PDF documents from any .NET language. The same drawing routines can be used to create PDF documents, draw on the screen, or send output to any printer."
IIS,yellow,platforms,FALSE,"Internet Information Services (IIS) is an extensible web server created by Microsoft for use with the Windows NT family. IIS supports HTTP, HTTP/2, HTTPS, FTP, FTPS, SMTP and NNTP."
MS SQL Server,green,platforms,FALSE,"Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network (including the Internet)."
Windows Server,yellow,platforms,FALSE,"Windows Server is a brand name for a group of server operating systems released by Microsoft. It includes all Windows operating systems that are branded ""Windows Server"", but not any other Microsoft product."
Azure,green,platforms,FALSE,"Microsoft Azure is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through a global network of Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools and frameworks, including both Microsoft-specific and third-party software and systems."
Google Cloud Platform,green,platforms,FALSE,"Google Cloud Platform, offered by Google, is a suite of cloud computing services that runs on the same infrastructure that Google uses internally for its end-user products, such as Google Search and YouTube. Alongside a set of management tools, it provides a series of modular cloud services including computing, data storage, data analytics and machine learning. Registration requires a credit card or bank account details."
ElasticSearch,green,platforms,FALSE,"Elasticsearch is a search engine based on Lucene. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents."
Tableau,green,platforms,FALSE,"Tableau is a interactive data visualization product focused on business intelligence. It queries relational databases, OLAP cubes, cloud databases, and spreadsheets and then generates a number of graph types."
"Elastic Stack (Kibana, Beats, Logstash)",green,platforms,FALSE,
Git,green,platforms,FALSE,
C#,green,languages & frameworks,FALSE,
Simple Injector,red,languages & frameworks,FALSE,
ASP.NET MVC,red,languages & frameworks,FALSE,"The ASP.NET MVC is a web application framework developed by Microsoft, which implements the model–view–controller (MVC) pattern. It is open-source software, apart from the ASP.NET Web Forms component which is proprietary."
Batch Script,green,languages & frameworks,FALSE,
.NET Core,green,languages & frameworks,FALSE,".NET Core is a free and open-source managed software framework for Windows, macOS and Linux."
jQuery,red,languages & frameworks,FALSE,
RabbitMQ,green,languages & frameworks,FALSE,
MassTransit,green,languages & frameworks,FALSE,
FAKE - F# Make,green,languages & frameworks,FALSE,
PowerShell,green,languages & frameworks,FALSE,
MsTest,green,languages & frameworks,FALSE,
.NET WCF,yellow,languages & frameworks,FALSE,
SVN,red,platforms,FALSE,
